業者名,評価,レビュー件数,業種,電話番号,住所,検索クエリ,GoogleマップURL
（有）門屋工業,4.8,4,建設請負業者,03-3858-6665,〒121-0061 東京都足立区花畑７丁目１７−９,草加市 解体工事,https://maps.google.com/?cid=4907586122633703238&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
大西園植木（株）,4.5,4,建設請負業者,048-281-2360,〒334-0063 埼玉県川口市東本郷１１９３−１,川口市 造園,https://maps.google.com/?cid=3975503222228426582&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
OR-TECH 工業株式会社,5,3,建設請負業者,048-711-5274,〒336-0015 埼玉県さいたま市南区太田窪２０７２ SSalut House 208号室,さいたま市 解体工事,https://maps.google.com/?cid=14025844225962309540&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
GB株式会社,5,3,建設請負業者,070-3763-0402,〒337-0026 埼玉県さいたま市見沼区染谷１丁目２０１−１,さいたま市 解体工事,https://maps.google.com/?cid=2788545318972096775&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
手塚工務店,5,3,建設請負業者,048-265-2753,〒333-0845 埼玉県川口市上青木西３丁目５−１,川口市 工務店,https://maps.google.com/?cid=7419571185665931247&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
田嶋板金工業株式会社,5,3,屋根ふき業者,049-292-1308,〒350-1101 埼玉県川越市的場１丁目２５−３４,川越市 屋根工事,https://maps.google.com/?cid=6430025908457723375&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
（有）城所工務店,4.7,3,建設請負業者,048-266-9631,〒333-0844 埼玉県川口市上青木３丁目１０−２３,川口市 工務店,https://maps.google.com/?cid=10024426088505580137&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
（株）鈴木工務店,4.7,3,建設請負業者,049-244-1731,〒350-1141 埼玉県川越市寺尾１３８,川越市 工務店,https://maps.google.com/?cid=6028355792090429196&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
(有)五月造園,4.3,3,建設請負業者,048-296-9245,〒334-0058 埼玉県川口市安行領家１５９−３,川口市 造園,https://maps.google.com/?cid=8152219904915532542&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
白鳥工業,4.3,3,建設請負業者,048-978-3174,〒343-0047 埼玉県越谷市弥十郎６６１,越谷市 解体工事,https://maps.google.com/?cid=14739941001649252986&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
西城園,4,3,建設請負業者,048-295-0587,〒334-0059 埼玉県川口市安行１２４７,川口市 造園,https://maps.google.com/?cid=18311951094494978644&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
（有）竹直造園土木,5,2,建材店,048-668-1355,〒331-0823 埼玉県さいたま市北区日進町１丁目３５−３１ 竹直造園土木,さいたま市 造園,https://maps.google.com/?cid=5241990881789123141&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
(株)神田造園,5,2,建設請負業者,048-798-0916,〒339-0027 埼玉県さいたま市岩槻区尾ケ崎１１０４,さいたま市 造園,https://maps.google.com/?cid=5680273579330385870&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
寺田美装工業,5,2,塗装工,070-5533-0919,〒338-0002 埼玉県さいたま市中央区下落合１６５２−２１ ビラフローラ 505,さいたま市 外壁塗装,https://maps.google.com/?cid=8358924379484845489&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
（有）松原工務店,5,2,建設請負業者,048-878-3610,〒336-0973 埼玉県さいたま市緑区南部領辻３１９８−２,さいたま市 工務店,https://maps.google.com/?cid=3322789093281941422&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
さいたま内装本舗,5,2,建設請負業者,048-699-7079,"ベルコート北浦和 ３０６, ４丁目-６-13 北浦和 浦和区 さいたま市 埼玉県 330-0074",さいたま市 内装工事,https://maps.google.com/?cid=15508244588181776116&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
吉澤造園,5,2,建設請負業者,048-296-4863,〒334-0056 埼玉県川口市峯１１１８,川口市 造園,https://maps.google.com/?cid=7556987209221466314&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
有限会社 太田工務店,5,2,建設請負業者,048-267-0247,〒333-0866 埼玉県川口市芝４３７３−９,川口市 工務店,https://maps.google.com/?cid=10377787470576921710&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
（株）高野板金工業,5,2,建設請負業者,048-294-3251,〒333-0832 埼玉県川口市神戸２４９−９,川口市 板金工事,https://maps.google.com/?cid=12923744409899748074&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
株式会社ASIA,5,2,建設請負業者,080-4144-0472,〒332-0002 埼玉県川口市弥平２丁目２０−１９,川口市 解体工事,https://maps.google.com/?cid=10983858217905082605&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
田村塗装,5,2,塗装工,049-243-6449,〒350-1131 埼玉県川越市岸町２丁目２０−４７,川越市 外壁塗装,https://maps.google.com/?cid=11219849146108852835&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
城南塗装,5,2,塗装工,049-293-3603,〒350-1124 埼玉県川越市新宿町６丁目6−２０,川越市 外壁塗装,https://maps.google.com/?cid=12261970223448544164&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
（株）三浦工務店,5,2,建設請負業者,049-244-6942,〒350-1153 埼玉県川越市下松原１５１,川越市 工務店,https://maps.google.com/?cid=6930419588183988485&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
粕谷工務店,5,2,建設請負業者,04-2922-5313,〒359-1145 埼玉県所沢市山口１５３７,所沢市 工務店,https://maps.google.com/?cid=7478907940429343182&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
（株）福田興業,5,2,建設請負業者,04-2945-2272,〒359-0013 埼玉県所沢市城５８５−１,所沢市 解体工事,https://maps.google.com/?cid=1978292466324456701&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
伸和工業（株）,5,2,建設請負業者,048-985-9315,〒343-0827 埼玉県越谷市川柳町１丁目３０１,越谷市 板金工事,https://maps.google.com/?cid=11812873784230029484&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
NEW LIFE株式会社,5,2,建設請負業者,048-940-3702,〒343-0803 埼玉県越谷市砂原334 -1,越谷市 解体工事,https://maps.google.com/?cid=18250611639616105061&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
株式会社 エムテック,5,2,建設請負業者,048-950-8664,〒340-0013 埼玉県草加市松江６丁目１３−３３,草加市 外構,https://maps.google.com/?cid=13478021642543443910&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
（株）県南サッシトーヨー住器,5,2,建材店,048-928-1223,〒340-0027 埼玉県草加市両新田西町３９３−１９,草加市 外構,https://maps.google.com/?cid=13058908195379288430&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
KY Company株式会社,5,2,建設請負業者,048-923-5155,〒340-0036 埼玉県草加市苗塚町１３７−２,草加市 外構,https://maps.google.com/?cid=10465166091503392705&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
(株)鈴木工務店 草加資材センター,5,2,建設請負業者,048-954-8924,〒340-0001 埼玉県草加市柿木町４３５−５,草加市 工務店,https://maps.google.com/?cid=17572057720012958862&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
（有）ダスト産業,5,2,建設請負業者,048-954-8253,〒340-0802 埼玉県八潮市鶴ケ曽根５０９−１,草加市 解体工事,https://maps.google.com/?cid=1170355589656464894&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ＳＲＧ埼玉リフォーム,4.5,2,建設請負業者,048-884-6111,〒336-0042 埼玉県さいたま市南区大谷口１７５８ 埼玉リフォーム,さいたま市 住宅リフォーム,https://maps.google.com/?cid=13046250925713611165&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
花月農園,4.5,2,建設請負業者,048-296-1178,〒334-0059 埼玉県川口市安行９２５,川口市 造園,https://maps.google.com/?cid=14656311325132363255&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
松寿園,4.5,2,建設請負業者,048-296-1779,〒334-0058 埼玉県川口市安行領家１４９,川口市 造園,https://maps.google.com/?cid=18178399680446204648&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
島村緑地,4.5,2,建材店,049-243-0151,〒350-1171 埼玉県川越市池辺６０６,川越市 造園,https://maps.google.com/?cid=18351906875687298865&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
新井園,4.5,2,建設請負業者,04994-9-3990,〒359-1164 埼玉県所沢市三ケ島５丁目１６１４,所沢市 造園,https://maps.google.com/?cid=3470065265457541547&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
（株）東武緑化サービス,4.5,2,建設請負業者,048-962-7409,〒343-0023 埼玉県越谷市東越谷６丁目１７−３,越谷市 造園,https://maps.google.com/?cid=1627910318987702572&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
植長,4,2,建設請負業者,048-296-3055,〒334-0059 埼玉県川口市安行７６１,川口市 造園,https://maps.google.com/?cid=16277753229846036473&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
白鳥工務店,4,2,建設請負業者,048-298-7411,〒334-0056 埼玉県川口市峯８６５−４,川口市 工務店,https://maps.google.com/?cid=9574007376318928972&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
TOMO企画,4,2,建設請負業者,04-2947-2884,〒359-1151 埼玉県所沢市若狭３丁目２５３３,所沢市 内装工事,https://maps.google.com/?cid=4612530475789789286&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
有限会社小山工務店 埼玉支店·越谷資材センター,4,2,建設請負業者,048-979-4798,〒343-0803 埼玉県越谷市砂原１２８,越谷市 工務店,https://maps.google.com/?cid=7084284230434924708&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
株式会社古庄ダクト工業,4,2,建設請負業者,048-962-4121,日本、〒343-0852 埼玉県越谷市新川町２丁目,越谷市 板金工事,https://maps.google.com/?cid=6812579258764827844&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
斉藤内装,4,2,建設請負業者,070-5073-6372,〒343-0825 埼玉県越谷市大成町１丁目１９０,越谷市 内装工事,https://maps.google.com/?cid=8180021978129078656&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
